"Store No.","Name","Latitude","Longitude","Address","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL"
"1638","Cub - Coon Rapids","45.1823","-93.3196","2050 Northdale Blvd, Coon Rapids, MN, 55433","2050 Northdale Blvd","Coon Rapids","MN","55433","Anoka","763-767-9330","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1638.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/2050+Northdale+Blvd,+Coon+Rapids,+MN,+55433,+USA/"
"1630","Cub - Fridley","45.0702","-93.266","250 57th Ave Ne, Fridley, MN, 55432","250 57th Ave Ne","Fridley","MN","55432","Anoka","763-571-3744","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1630.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/250+57th+Ave+Ne,+Fridley,+MN,+55432,+USA/"
"1608","Cub - Blaine","45.126","-93.2572","585 Northtown Dr, Blaine, MN, 55434","585 Northtown Dr","Blaine","MN","55434","Anoka","763-780-4323","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1608.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/585+Northtown+Dr,+Blaine,+MN,+55434,+USA/"
"1652","Cub - Blaine","45.1647","-93.1609","4205 Pheasant Ridge Dr, Blaine, MN, 55449","4205 Pheasant Ridge Dr","Blaine","MN","55449","Anoka","763-784-4368","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1652.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/4205+Pheasant+Ridge+Dr,+Blaine,+MN,+55449,+USA/"
"1692","Cub Liquor - Coon Rapids","45.2064","-93.3618","12940 Riverdale Drive, Coon Rapids, MN, 55448","12940 Riverdale Drive","Coon Rapids","MN","55448","Anoka","763-576-1744","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1692.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/12940+Riverdale+Drive,+Coon+Rapids,+MN,+55448,+USA/"
"1629","Cub - St Anthony","45.0397","-93.2207","3930 Silver Lake Rd, St Anthony, MN, 55421","3930 Silver Lake Rd","St Anthony","MN","55421","Anoka","612-789-8689","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1629.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/3930+Silver+Lake+Rd,+St+Anthony,+MN,+55421,+USA/"
"1592","Cub - Blaine","45.1682","-93.2662","10881 University Avenue Ne, Blaine, MN, 55434","10881 University Avenue Ne","Blaine","MN","55434","Anoka","763-767-8272","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1592.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/10881+University+Avenue+Ne,+Blaine,+MN,+55434,+USA/"
"1606","Cub - Mankato","44.1682","-93.9547","1800 Madison Ave, Mankato, MN, 56001","1800 Madison Ave","Mankato","MN","56001","Blue Earth","507-625-9222","6 am - midnight, 7 days a weekmon - fri: 9 am - 9 pmsat: 9 am - 6 pmsun: 10 am - 6 pm","https://www.cub.com/stores/view-store.1606.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1800+Madison+Ave,+Mankato,+MN,+56001,+USA/"
"1653","Cub - Mankato","44.1605","-94.0163","1200 S Riverfront Dr, Mankato, MN, 56001","1200 S Riverfront Dr","Mankato","MN","56001","Blue Earth","507-387-4163","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat: 9 am - 6 pmsun: 10 am - 5 pm","https://www.cub.com/stores/view-store.1653.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/1200+S+Riverfront+Dr,+Mankato,+MN,+56001,+USA/"
"1644","Cub - Chanhassen","44.8604","-93.5388","7900 Market Blvd, Chanhassen, MN, 55317","7900 Market Blvd","Chanhassen","MN","55317","Carver","952-934-1010","24 hours, 7 days a weekmon - fri: 9 am - 9 pmsat - sun: 9 am - 6 pm","https://www.cub.com/stores/view-store.1644.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/7900+Market+Blvd,+Chanhassen,+MN,+55317,+USA/"
"1007630","Cub - Chaska","44.8301","-93.6008","200 Pioneer Trail, Chaska, MN, 55318","200 Pioneer Trail","Chaska","MN","55318","Carver","952-448-5112","5 am - midnight, 7 days a week","https://www.cub.com/stores/view-store.1007630.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/200+Pioneer+Trail,+Chaska,+MN,+55318,+USA/"
"1001045","Cub - Baxter","46.3552","-94.2448","14133 Edgewood Dr North, Baxter, MN, 56425","14133 Edgewood Dr North","Baxter","MN","56425","Crow Wing","218-828-4601","6 am - 10 pm, 7 days a week","https://www.cub.com/stores/view-store.1001045.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/14133+Edgewood+Dr+North,+Baxter,+MN,+56425,+USA/"
"1001047","Cub - Brainerd","46.3619","-94.1793","417 8th Ave Ne, Brainerd, MN, 56401","417 8th Ave Ne","Brainerd","MN","56401","Crow Wing","218-828-1816","6 am - 10 pm, 7 days a week","https://www.cub.com/stores/view-store.1001047.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/417+8th+Ave+Ne,+Brainerd,+MN,+56401,+USA/"
"1006476","Cub Liquor - St Paul","44.8847","-93.0806","2055 South Robert, West Saint Paul, MN, 55118","2055 South Robert","West Saint Paul","MN","55118","Dakota","651-457-3731","mon - sat: 8 am - 10 pmsun: 11 am - 6 pm","https://www.cub.com/stores/view-store.1006476.html","Cub Foods","2020-11-19","USA","Open","https://www.google.com/maps/dir/Current+Location/2055+South+Robert,+West+Saint+Paul,+MN,+55118,+USA/"
