lat,long,icon
45.1823,-93.3196,events
45.0702,-93.266,events
45.126,-93.2572,events
45.1647,-93.1609,events
45.2064,-93.3618,events
45.0397,-93.2207,events
45.1682,-93.2662,events
44.1682,-93.9547,events
44.1605,-94.0163,events
44.8604,-93.5388,events
44.8301,-93.6008,events
46.3552,-94.2448,events
46.3619,-94.1793,events
44.8847,-93.0806,events
44.7302,-93.1445,events
44.8348,-93.0417,events
44.8348,-93.0417,events
44.6921,-93.2832,events
44.7373,-92.8913,events
44.7315,-93.1419,events
44.6932,-93.2147,events
44.7269,-93.2165,events
44.8317,-93.1613,events
44.7373,-92.8913,events
44.7764,-93.2757,events
44.8855,-93.0827,events
44.8038,-93.1411,events
44.8045,-93.1417,events
44.7466,-93.2991,events
44.6593,-93.2519,events
44.792,-93.2057,events
44.7481,-93.3005,events
45.8648,-95.3789,events
44.8818,-93.3199,events
45.1321,-93.3596,events
44.9679,-93.3477,events
44.813,-93.3296,events
44.8952,-93.2772,events
45.0212,-93.4793,events
44.893,-93.5813,events
44.8591,-93.4216,events
44.9145,-93.5027,events
45.0194,-93.3458,events
44.9497,-93.2938,events
44.9376,-93.3831,events
44.9679,-93.3477,events
45.0342,-93.4101,events
45.0051,-93.2324,events
45.1608,-93.3906,events
45.1608,-93.3898,events
44.9515,-93.2361,events
45.0342,-93.4101,events
44.8135,-93.3296,events
45.0926,-93.379,events
45.0204,-93.3457,events
45.2063,-93.5503,events
45.0589,-93.3236,events
44.9985,-93.289,events
44.8514,-93.2861,events
45.0926,-93.379,events
45.1026,-93.4481,events
45.5735,-93.2025,events
44.0092,-92.4442,events
45.0389,-93.0198,events
44.9534,-93.1596,events
44.9933,-93.1505,events
44.9511,-93.0083,events
44.9933,-93.1505,events
45.0391,-93.0175,events
45.0535,-93.1476,events
45.0057,-93.1037,events
45.08,-93.0565,events
45.0047,-93.1644,events
45.0131,-93.0182,events
44.952,-93.0065,events
45.0813,-93.0577,events
45.083,-93.22,events
45.0057,-93.1037,events
44.9766,-93.0442,events
45.0535,-93.1476,events
44.4497,-93.1701,events
44.782,-93.5086,events
44.7483,-93.3777,events
44.7799,-93.5096,events
45.3157,-93.5614,events
46.8032,-92.147,events
42.2831,-89.6328,events
44.9444,-92.9375,events
44.9616,-92.9607,events
45.0379,-92.8406,events
44.9633,-92.96,events
45.2826,-93.0101,events
44.8181,-92.9301,events
45.1708,-93.8597,events
45.3,-93.8009,events
45.2104,-93.6487,events
