lan,long,icon
43.954523,-92.464843,route-dot
44.086577,-93.249008,route-dot
44.063197,-92.502995,route-dot
44.172924,-93.951425,route-dot
44.031846,-91.620872,route-dot
44.43365,-93.186378,route-dot
44.568743,-92.582546,route-dot
44.683917,-93.291757,route-dot
44.723307,-93.175355,route-dot
44.729898,-93.21455,route-dot
44.748796,-93.288845,route-dot
44.743707,-93.377421,route-dot
44.791154,-93.205846,route-dot
44.775657,-93.500873,route-dot
44.81502,-92.931008,route-dot
44.836017,-93.08777,route-dot
44.827056,-93.600506,route-dot
44.860029,-93.311579,route-dot
44.855701,-93.425342,route-dot
44.875472,-93.3236,route-dot
44.885484,-93.249402,route-dot
44.893758,-93.078516,route-dot
44.861783,-93.542683,route-dot
44.840873,-93.770344,route-dot
44.917612,-93.188251,route-dot
44.926719,-92.959728,route-dot
44.939486,-92.908822,route-dot
44.916909,-93.504896,route-dot
44.936939,-93.346785,route-dot
44.949601,-93.028418,route-dot
44.935929,-93.392737,route-dot
44.949951,-93.236742,route-dot
44.953491,-93.155753,route-dot
44.948763,-93.296179,route-dot
44.975017,-93.274104,route-dot
44.981616,-93.235075,route-dot
44.970157,-93.447411,route-dot
44.996899,-92.945956,route-dot
45.004814,-93.229932,route-dot
45.007659,-93.163733,route-dot
45.013767,-93.009068,route-dot
45.037686,-92.838689,route-dot
45.031424,-93.450801,route-dot
45.052235,-93.060696,route-dot
45.056743,-93.144848,route-dot
45.052732,-93.365555,route-dot
45.0659,-93.2512,route-dot
45.045408,-93.529583,route-dot
45.065669,-93.307622,route-dot
44.868546,-94.377826,route-dot
45.091081,-93.377936,route-dot
45.126821,-93.268746,route-dot
45.136208,-93.474429,route-dot
45.165672,-93.232421,route-dot
45.184494,-93.104546,route-dot
45.172343,-93.388483,route-dot
45.194942,-93.350366,route-dot
45.217556,-93.315988,route-dot
45.19775,-93.554631,route-dot
45.164304,-93.855592,route-dot
45.274286,-93.000051,route-dot
45.278232,-93.563492,route-dot
45.293475,-93.772811,route-dot
45.09785,-95.041362,route-dot
45.574245,-93.200224,route-dot
45.565472,-94.145193,route-dot
45.556925,-94.208528,route-dot
45.850045,-95.389931,route-dot
46.362996,-94.241828,route-dot
46.808391,-92.16745,route-dot
46.875702,-96.728311,route-dot
47.510808,-92.549759,route-dot
47.209549,-93.527193,route-dot
47.493679,-94.910564,route-dot
