lat,long,icon
44.097971,-93.249726,cart
43.664017,-93.325601,cart
44.097475,-93.509965,cart
44.163908,-93.950642,cart
45.100793,-95.035261,cart
44.74111,-92.89188,cart
45.207265,-93.362063,cart
45.189871,-93.878478,cart
47.2017,-93.525989,cart
46.88175,-96.722497,cart
45.980168,-94.337543,cart
45.84835,-95.382454,cart
45.592684,-94.187303,cart
44.290001,-93.306053,cart
46.341881,-94.249555,cart
46.292561,-96.12436,cart
44.432426,-95.766785,cart
44.8717545,-94.3788858,cart
46.817374,-92.18404,cart
44.828515,-93.161911,cart
44.8562449,-93.431226,cart
45.032923,-92.831595,cart
44.951553,-95.689822,cart
44.540069,-95.087846,cart
45.100635,-93.385189,cart
46.7033486,-92.4518609,cart
45.121055,-93.265533,cart
44.07697,-92.511312,cart
45.221466,-93.31249,cart
45.049086,-93.064426,cart
44.860771,-93.265676,cart
45.276821,-93.001975,cart
45.570271,-93.197832,cart
45.8174186,-92.9769429,cart
44.810716,-92.918766,cart
44.946338,-92.896855,cart
44.734376,-93.224698,cart
43.986706,-92.459468,cart
43.636684,-95.601827,cart
45.126054,-93.494365,cart
47.397667,-92.960236,cart
46.825569,-95.877746,cart
45.550514,-94.202169,cart
45.572118,-93.60227,cart
45.30054,-93.549071,cart
47.4966,-94.908205,cart
44.897067,-93.077455,cart
45.021718,-93.183443,cart
45.1599696,-93.1597977,cart
44.77931,-93.417731,cart
44.563101,-92.581983,cart
45.284181,-93.801838,cart
44.328703,-94.505311,cart
48.11233,-96.150001,cart
47.791576,-96.607311,cart
43.681934,-94.444776,cart
46.925379,-95.033631,cart
46.453235,-95.127366,cart
45.720665,-94.947005,cart
43.6878184,-92.9872555,cart
45.1210736,-94.4907311,cart
47.5229841,-92.5910689,cart
44.816501,-93.04036,cart
44.032852,-91.617418,cart
44.954886,-93.161045,cart
45.0563683,-93.3162617,cart
45.1797455,-93.2390135,cart
44.781099,-93.286082,cart
44.6504,-93.297113,cart
