Owatonna Supercenter,https://www.walmart.com/store/982/owatonna-mn/details,1130 W Frontage Rd,Owatonna,MN,55060,US,507-455-0049,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.097971,-93.249726,,,,,
Albert Lea Supercenter,https://www.walmart.com/store/1020/albert-lea-mn/details,1550 Blake Ave,Albert Lea,MN,56007,US,507-377-2998,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",43.664017,-93.325601,,,,,
Waseca Supercenter,https://www.walmart.com/store/1038/waseca-mn/details,2103 State St N,Waseca,MN,56093,US,507-835-2250,,,,,,,"monday - friday : 06:00-01:00, saturday : 06:00-01:00, sunday : 06:00-01:00",44.097475,-93.509965,,,,,
Mankato Supercenter,https://www.walmart.com/store/1473/mankato-mn/details,1881 E Madison Ave,Mankato,MN,56001,US,507-625-9318,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.163908,-93.950642,,,,,
Willmar Supercenter,https://www.walmart.com/store/1470/willmar-mn/details,700 19th Ave Se,Willmar,MN,56201,US,320-231-3456,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.100793,-95.035261,,,,,
Hastings Supercenter,https://www.walmart.com/store/1472/hastings-mn/details,1752 No. Frontage,Hastings,MN,55033,US,651-438-2400,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.74111,-92.89188,,,,,
Coon Rapids Store,https://www.walmart.com/store/1562/coon-rapids-mn/details,13020 Riverdale Dr Nw,Coon Rapids,MN,55448,US,763-421-2622,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.207265,-93.362063,,,,,
Buffalo Supercenter,https://www.walmart.com/store/1577/buffalo-mn/details,1315 Highway 25 N,Buffalo,MN,55313,US,763-682-2958,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.189871,-93.878478,,,,,
Grand Rapids Supercenter,https://www.walmart.com/store/1609/grand-rapids-mn/details,100 Se 29th St,Grand Rapids,MN,55744,US,218-326-9682,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",47.2017,-93.525989,,,,,
Dilworth Supercenter,https://www.walmart.com/store/1627/dilworth-mn/details,415 34th St N,Dilworth,MN,56529,US,218-233-9822,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.88175,-96.722497,,,,,
Little Falls Supercenter,https://www.walmart.com/store/1634/little-falls-mn/details,15091 18th St Ne,Little Falls,MN,56345,US,320-632-9268,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.980168,-94.337543,,,,,
Alexandria Supercenter,https://www.walmart.com/store/1632/alexandria-mn/details,4611 State Highway 29 S,Alexandria,MN,56308,US,320-762-8945,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.84835,-95.382454,,,,,
Sartell Supercenter,https://www.walmart.com/store/1633/sartell-mn/details,21 County Road 120,Sartell,MN,56377,US,320-259-1527,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",45.592684,-94.187303,,,,,
Faribault Supercenter,https://www.walmart.com/store/1657/faribault-mn/details,150 Western Ave Nw,Faribault,MN,55021,US,507-332-0232,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",44.290001,-93.306053,,,,,
Baxter Supercenter,https://www.walmart.com/store/1654/baxter-mn/details,7295 Glory Rd,Baxter,MN,56425,US,218-829-2220,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",46.341881,-94.249555,,,,,
